Artikelbezeichnung;Hersteller;Artikelnummer;Kategoriepfad;Beschreibungsfeld;Bild-Link;Deeplink;Verfuegbarkeit;Bruttopreis;Stattpreis;EAN;Versandkosten;
"Pferdeschermaschine Profi Line";"Liscop";"FA21892";"Tierhaltung>Tierhaltung>Schermaschinen>Rinder, Pferde>Rinder-, Pferdeschermaschinen";"Die neue Schermaschinengeneration für die professionelle Pferdeschur. Der durchzugsstarke Gleichstrommotor (DC-Technologie) mit einer Leistung von 200W (entspricht ca. 400W bei herkömmlicher AC-Technologie ) überzeugt auch unter widrigsten Bedingungen, ohne merkliches Abfallen der Drehzahl. Durch die neue Motorentechnik ist der Griffbereich der Maschine ergonomischer gestaltet und das Gewicht deutlich verringert . Die ausgewogene Gewichtsverteilung sorgt für ermüdungsfreies Scheren auch bei Dauerbelastung. Durch den optimierten Luftfilter werden größere Luftmassen durchgelassen, wodurch eine optimale Kühlung des Motors und der Maschine entsteht. Lieferung komplett mit Scherkopf VIII, Schermessersatz LI 102 (Schnitthöhe 3 mm), neuem Kombischlüssel und Spezial-Schermaschinenöl im robusten Kunststoffkoffer. Passende Schermesser: Liscop LI 100-er Serie Technische Daten: 230 Volt 50 Hertz ...";https://www.faie.at/media/image/51/be/2a/art_pro_fo_fk_21892_200x200.jpg;"https://www.faie.at/tierhaltung/tierhaltung/schermaschinen/rinder-pferde/rinder-pferdeschermaschinen/5021892/pferdeschermaschine-profi-line";lagernd (derzeit bis zu 10 Werktage Lieferzeit);349,00;429,00;"4018619059865"; 0;
"Elektrokettensäge Dolmar ES-39 TLC";"Dolmar";"FA22076";"Forst>Kettensägen>Dolmar Kettensägen>Dolmar Kettensägen Elektro";"Bis ins kleinste Detail durchdacht - die neue Elektro-Motorsägen-Generation. Weiterentwickelt mit zahlreichen neuen Features versehen, sind die neuen Elektro-Motorsägen jetzt noch komfortabler. Ideal für Arbeiten rund um Haus und Garten sowie für Handwerk und Gewerbe.";https://www.faie.at/media/image/a1/25/36/art_pro_fo_ca_22076_200x200.jpg;"https://www.faie.at/forst/kettensaegen/dolmar-kettensaegen/dolmar-kettensaegen-elektro/5022076/elektrokettensaege-dolmar-es-39-tlc";lagernd (derzeit bis zu 10 Werktage Lieferzeit);149,95;159,95;"4002829857694"; 6,95;
"Elektrokettensäge Dolmar ES-43 TLC";"Dolmar";"FA22077";"Forst>Kettensägen>Dolmar Kettensägen>Dolmar Kettensägen Elektro";"Bis ins kleinste Detail durchdacht - die neue Elektro-Motorsägen-Generation. Weiterentwickelt mit zahlreichen neuen Features versehen, sind die neuen Elektro-Motorsägen jetzt noch komfortabler. Ideal für Arbeiten rund um Haus und Garten.";https://www.faie.at/media/image/dc/16/da/art_pro_fo_ca_22077_200x200.jpg;"https://www.faie.at/forst/kettensaegen/dolmar-kettensaegen/dolmar-kettensaegen-elektro/5022077/elektrokettensaege-dolmar-es-43-tlc";nicht lagernd (10-14 Werktage Lieferzeit);154,95;164,95;""; 0;
"Laubbläser BG 86 STIHL";"Stihl";"FA22386";"Forst>Forst-Zubehör>Allgemein Forst Zubehör>Allgemein Forst Zubehör";"Für die Reinigung großer Flächen von Laub und Gras, dank des HD2-Filters auch für die Anwendung in sehr staubiger Umgebung geeignet. Runddüse, Flachdüse, STIHL Antivibrationssystem, STIHL ElastoStart, 2-MIX-Motor, feststellbarer Gashebel mit Stopptaster. Technische Daten: Hubraum cm³: 27,2 Gewicht kg: 4,4 Schalldruckpegel dB(A): 90 Schallleistungspegel dB(A): 104 Vibrationswert m/s²: 2,5 Luftgeschwindigkeit m/s: 85 Max. Luftdurchsatz m³/h: 810";https://www.faie.at/media/image/97/be/24/art_pro_fo_db_22386_200x200.jpg;"https://www.faie.at/forst/forst-zubehoer/allgemein-forst-zubehoer/allgemein-forst-zubehoer/5022386/laubblaeser-bg-86-stihl";lagernd (derzeit bis zu 10 Werktage Lieferzeit);429,00;439,00;""; 0;
"Erdbohrer BT 131 STIHL";"Stihl";"FA22399";"Forst>Forst-Zubehör>Aufforstungs- / Kulturwerkzeug>Pflanzwerkzeug";"Komfortables Einmann-Bohrgerät zum Bohren von Erdlöchern bis 300 mm Durchmesser. Duchzugsstarker STIHL 4-MIX®-2-Takt-Motor mit niedrigen Emissionwerten. Vibrationsgedämpfter Griffrahmen und QuickStop-Bohrerbremse, die bei Verhaken des Bohrers am Oberschenkel des Benutzers ausgelöst wird und das Bohrwerkzeug sofort zum Stillstand bringt. Für vielfältige Aufgaben vom Bohren einfacher Erdlöcher bis zur Entnahme von Bodenproben. Reichhaltige Auswahl an Bohrwerkzeugen. Preis ohne Bohrwerkzeug. Technische Daten: Hubraum cm³: 36,3 Leistung kW/PS: 1,4/1,9 Gewicht kg: 9,9 Schalldruckpegel dB(A): 92 Vibrationswert links/rechts m/s²: 1,7/2,2 Spindeldrehzahl 1/min: 200";https://www.faie.at/media/image/1e/b8/b4/art_pro_fo_cd_22399-2_200x200.jpg;"https://www.faie.at/forst/forst-zubehoer/aufforstungs-kulturwerkzeug/pflanzwerkzeug/5022399/erdbohrer-bt-131-stihl";nicht lagernd (10-14 Werktage Lieferzeit);1099,00;1119,00;""; 0;
"Pedalschlüssel Profi";"Unior";"FA22471";"Werkzeuge Maschinen>Handwerkzeug>Fahrrad Zubehör>Fahrradwerkzeug";"Profi Pedalschlüssel, vergütet und verchromt, mit zwei Komponenten Griff. Der Schlüssel hat unter verschiedenen Winkeln drei Öffnungen des Durchmessers von 15mm, was eine genaue und wirksame Demontage des Pedals, unabhängig von seiner Position, ermöglicht. Schlüsselausführung- und Form gewährleisten Haltbarkeit , Strapazierfähigkeit und Präzision bei der Anwendung. Die Schlüssellänge von 350 mm ermöglicht eine ausreichende Kraftübertragung, auch bei noch so stark befestigten Pedalen. Der Schlüssel hat eine zusätzliche Öffnung für einen Flaschenöffner.";https://www.faie.at/media/image/91/b4/e2/art_pro_fo_bf_22471_200x200.jpg;"https://www.faie.at/werkzeuge-maschinen/handwerkzeug/fahrrad-zubehoer/fahrradwerkzeug/5022471/pedalschluessel-profi";lagernd (derzeit bis zu 10 Werktage Lieferzeit);29,95;37,90;"3838909155371"; 6,95;
"Multifunktionswerkzeug";"Unior";"FA22489";"Werkzeuge Maschinen>Handwerkzeug>Fahrrad Zubehör>Fahrradwerkzeug";"In kompakter Bauweise, ideal für jeden Radfahrer, sollten kleinere Reparaturen anfallen. Im Werkzeug sind folgende Funktionen beinhaltet: 6-kant Schlüssel 2, 2.5, 3, 4, 5, 6; Stiftschlüssel mit TX Profil 25 und 30; Schraubendreher PH (austauschbar), Kettennieter, Speichenschlüssel der Größen 3, 5, 3.3, 4, 4.2; Stifthalter für die Shimano Kette";https://www.faie.at/media/image/9c/7e/78/art_pro_fo_bf_22489_200x200.jpg;"https://www.faie.at/werkzeuge-maschinen/handwerkzeug/fahrrad-zubehoer/fahrradwerkzeug/5022489/multifunktionswerkzeug";lagernd (derzeit bis zu 10 Werktage Lieferzeit);39,95;47,95;"3838909219837"; 6,95;
"Ballistol Schaftöl rotbraun 50 ml";"Ballistol";"FA22676";"Werkzeuge Maschinen>E-Geräte, Maschinen, Zubehör>Großgeräte Zubehör>Technische Sprays>Ballistol Sprays und Öle";"Schaft- und Holzpflege Regeneriert, imprägniert und konserviert Gewehrschäfte Verleiht einen schönen Mattglanz und lässt die Maserung optimal in Erscheinung treten Eignet sich auch zur Pflege anderer Edelhölzer Inhalt: 50 ml";https://www.faie.at/media/image/c6/82/f8/art_pro_fo_ad_22676_200x200.jpg;"https://www.faie.at/werkzeuge-maschinen/e-geraete-maschinen-zubehoer/grossgeraete-zubehoer/technische-sprays/ballistol-sprays-und-oele/5022676/ballistol-schaftoel-rotbraun-50-ml";lagernd (derzeit bis zu 10 Werktage Lieferzeit);3,99;4,99;"4017777230604"; 9,95;
"Gesundheits-Holzschuh ""Easy Walker""";"Stapa";"FA23748";"Haushalt, Gesundheit>Haushalt>Haus & Garten>Haus & Gartenschuhe";"Durch die patentierte, mit elastischem Gelenk versehene Holzsohle, passt sich der Schuh an die Gehbewegungen des Fußes an und bietet son einen außergewöhnlichen Tragekomfort. Größe 36 - 46.";https://www.faie.at/media/image/a5/17/c8/art_pro_fo_ia_80050_200x200.jpg;"https://www.faie.at/haushalt-gesundheit/haushalt/haus-garten/haus-gartenschuhe/5023748/gesundheits-holzschuh-easy-walker";lagernd (derzeit bis zu 10 Werktage Lieferzeit);49,90;59,90;""; 6,95;
"Ölwannenschrauben- und Alu-Dichtring Sortiment, 534-tlg.";"keine Angabe";"FA25200";"Werkzeuge Maschinen>Handwerkzeug>PKW-Zubehör und Werkzeug>Autopflege, Wartung>KFZ-Spezialwerkzeug";"Umfangreiches, 534 teiliges Sortiment mit Ölablass Schrauben und Dichtringen aus Alu, die Lieferung erfolgt im Sortimentskasten. Ölablassschrauben: 5x M10, 5x M12, 5x M13, 5x M14, 5x M15, 3x M16, 3x M18, 3x M20 Dichtringe aus Kupfer: 50x6mm, 50x8mm, 50x10mm, 50x12mm, 50x13mm, 50x14mm, 50x15mm, 50x16mm, 50x18mm, 50x20mm";https://www.faie.at/media/image/3d/a7/25/art_pro_fo_wb_25200_200x200.jpg;"https://www.faie.at/werkzeuge-maschinen/handwerkzeug/pkw-zubehoer-und-werkzeug/autopflege-wartung/kfz-spezialwerkzeug/5025200/oelwannenschrauben-und-alu-dichtring-sortiment-534-tlg.";lagernd (derzeit bis zu 10 Werktage Lieferzeit);79,95;99,90;"4026947081199"; 6,95;
"Multikupplung 2-fach Set";"DNP";"FA25386";"Landtechnik>Hydraulikprogramm>Kupplungen, Kugelhähne,>Multikupplungen>Multikupplung DNP";"Automatisierte Arbeitsabläufe beim Fertigen, Prüfen, Steuern und Regeln erfordern höchste Präzision. Hier kommt unser Multikupplung 4-fach Set zum Einsatz: Es ermöglicht mühelos das gleichzeitige Ankuppeln von mehreren Ölhydraulikleitungen. Die feste Anordnung der Kupplungselemente schließt Verwechslungen aus und die Dauer des Kupplungsvorganges verkürzt sich enorm. Es entstehen weder Flüssigkeitsverluste noch ein Lufteinschluss während den An- und Entkupplungsphasen; selbst bei Vorhandensein von Druck. Fehlverbindungen sind so gut wie ausgeschlossen. Das Multikupplung 2-fach Set kommt hier zum Einsatz: Hydraulische Ausrüstungen für landwirtschaftliche Maschinen Hydraulische Ausrüstungen für forstwirtschaftliche Maschinen Hydraulische Ausrüstungen für Förderungsmaschinen Hydraulische Ausrüstungen für Nutzfahrzeuge Bauteile auf Prüfständen für hydraulische Systeme Kühlung oder Heizung ...";https://www.faie.at/media/image/3f/ee/16/art_pro_fo_mf_25386_200x200.jpg;"https://www.faie.at/landtechnik/hydraulikprogramm/kupplungen-kugelhaehne/multikupplungen/multikupplung-dnp/5025386/multikupplung-2-fach-set";lagernd (derzeit bis zu 10 Werktage Lieferzeit);249,00;288,00;""; 0;
"Steckkupplung ""Eco-Quality"" BG3, Doppelpackung";"keine Angabe";"FA25532";"Landtechnik>Hydraulikprogramm>Kupplungen, Kugelhähne,>Steckkupplungen>Push-Pull Aussengewinde";"Nach ISO 7241-1A, Push-Pull Ausführung, Made in Germany Stecker";https://www.faie.at/media/image/b1/ef/0b/art_pro_fo_mf_25532-1_200x200.jpg;"https://www.faie.at/landtechnik/hydraulikprogramm/kupplungen-kugelhaehne/steckkupplungen/push-pull-aussengewinde/5025532/steckkupplung-quot-eco-quality-quot-bg3-doppelpackung";lagernd (derzeit bis zu 10 Werktage Lieferzeit);6,99;8,98;""; 9,95;
"Steckkupplung ""Eco-Quality"" BG3, Doppelpackung";"keine Angabe";"FA25546";"Landtechnik>Hydraulikprogramm>Kupplungen, Kugelhähne,>Steckkupplungen>Push-Pull Aussengewinde";"Nach ISO 7241-1A, Push-Pull Ausführung, Made in Germany Muffe";https://www.faie.at/media/image/45/60/f4/art_pro_fo_mf_25546-1_200x200.jpg;"https://www.faie.at/landtechnik/hydraulikprogramm/kupplungen-kugelhaehne/steckkupplungen/push-pull-aussengewinde/5025546/steckkupplung-quot-eco-quality-quot-bg3-doppelpackung";lagernd (derzeit bis zu 10 Werktage Lieferzeit);15,90;19,98;""; 9,95;
"Kleidersack Deep Black lang";"Wenko";"FA25919";"Haushalt, Gesundheit>Haushalt>Ordnung & Sauberkeit>Wäsche & Co.";"Ideal zur Aufbewahrung von hochwertigen Textilien und praktisch auf Reisen. Mit durchgehendem Reißverschluss und Sichtfenster. Abwaschbar. Farbe: Stoff schwarz, Material: Stoff PEVA, Maße: BxT: 60x150 cm";https://www.faie.at/media/image/67/6e/46/art_pro_fo_ia_25919_200x200.jpg;"https://www.faie.at/haushalt-gesundheit/haushalt/ordnung-sauberkeit/waesche-co./5025919/kleidersack-deep-black-lang";lagernd (derzeit bis zu 10 Werktage Lieferzeit);3,99;5,99;"4008838438305"; 9,95;
"Schnapslatte";"keine Angabe";"FA25983";"Fachbücher, DVD, Kalender>Blechschilder,Geschenke u.Co.>Geschenkartikel";"Geschenksidee - 6 Stamperlgläser auf Rindenleiste 48 cm, Spruch: zum Wohl! Holzart: Erle";https://www.faie.at/media/image/f7/ed/ec/art_pro_fo_ia_25983_200x200.jpg;"https://www.faie.at/fachbuecher-dvd-kalender/blechschilder-geschenke-u.co./geschenkartikel/5025983/schnapslatte";lagernd (derzeit bis zu 10 Werktage Lieferzeit);19,95;24,90;"9002532370003"; 9,95;
"HSW Roux Revolverspritze mit Verlängerung";"keine Angabe";"FA26092";"Tierhaltung>Tierhaltung>Schweine>Veterinärbedarf>Dosierspritzen, Drencher";"Messingverchromte und polierte Ausführung, Duritkolben-Fensterhülse graduiert, die Dosierung erfolgt mittels einer Teilscheibe, bestens geeignet für Massenimpfungen. Mit spannbarem Kolben. Inhalt 50 ml inklusive 40 cm Verlängerung , Dosierung 1,0 - 5,0 ml . Mit Luer-Lock-Ansatz.";https://www.faie.at/media/image/fa/b9/17/art_pro_fo_fe_26093_200x200.jpg;"https://www.faie.at/tierhaltung/tierhaltung/schweine/veterinaerbedarf/dosierspritzen-drencher/5026092/hsw-roux-revolverspritze-mit-verlaengerung";lagernd (derzeit bis zu 10 Werktage Lieferzeit);79,95;94,95;"4035873000327"; 6,95;
"Dichtkegel gerade, leichte Reihe";"keine Angabe";"FA26145";"Landtechnik>Hydraulikprogramm>Preßarmaturen>Preßarmaturen 1-teilig gerade>Dichtkegel Metrisch";"Mit Überwurfmutter, 24°, DIN 20078 A.";https://www.faie.at/media/image/23/18/8c/art_pro_fo_mk_27201_200x200.jpg;"https://www.faie.at/landtechnik/hydraulikprogramm/pressarmaturen/pressarmaturen-1-teilig-gerade/dichtkegel-metrisch/5026145/dichtkegel-gerade-leichte-reihe";lagernd (derzeit bis zu 10 Werktage Lieferzeit);4,50;7,30;""; 9,95;
"Wassertrense einfach gebrochen";"keine Angabe";"FA26899";"Tierhaltung>Tierhaltung>Pferdehaltung, Reitsport>Pferd>Reithalfter, Trensen, Zügel";"Stärke 18 mm, rostfrei, hohl";https://www.faie.at/media/image/41/22/8e/art_pro_fo_fk_18107_200x200.jpg;"https://www.faie.at/tierhaltung/tierhaltung/pferdehaltung-reitsport/pferd/reithalfter-trensen-zuegel/5026899/wassertrense-einfach-gebrochen";lagernd (derzeit bis zu 10 Werktage Lieferzeit);9,99;11,95;"4043969240472"; 9,95;
"Kreiselzinke HIT 436.143";"keine Angabe";"FA27040";"Landtechnik>Landmaschinenteile>Heugerätezinken & Ersatzteile>Kreiselheuer & Kreiselschwader>passend zu Pöttinger";"Kreiselzinke passend zu Pöttinger HIT Baujahre 1990 - 1992";https://www.faie.at/media/image/b2/bd/9f/art_pro_fo_hb_27040-s_200x200.jpg;"https://www.faie.at/landtechnik/landmaschinenteile/heugeraetezinken-ersatzteile/kreiselheuer-kreiselschwader/passend-zu-poettinger/5027040/kreiselzinke-hit-436.143";lagernd (derzeit bis zu 10 Werktage Lieferzeit);3,79;5,49;""; 9,95;
"Heckenscher Alpina H 500 E";"keine Angabe";"FA27678";"Haus, Hof und Garten>Garten>Gartengeräte>Heckenscheren,Hochentaster";"Preiswerte und leistungsstarke Heckenschere mit 500 Watt. Robustes Messer mit großen Zahnabstand und 45 cm Schnittlänge. Ideal für kleinere und mittlere Gärten.";https://www.faie.at/media/image/9d/c1/fe/art_pro_fo_db_27678_200x200.jpg;"https://www.faie.at/haus-hof-und-garten/garten/gartengeraete/heckenscheren-hochentaster/5027678/heckenscher-alpina-h-500-e";lagernd (derzeit bis zu 10 Werktage Lieferzeit);99,90;139,00;"8008984507807"; 6,95;
"Schutzbrille 3M Secure Fit";"3M/Peltor";"FA27821";"Haus, Hof und Garten>Arbeitsschutz>Kopf, Augen, Atem, Gehörschutz>Augenschutz";"Neuentwickelte Schutzbrille mit patentierter Bügelkonstruktion für geringe Druckbelastung und optimalen Tragekomfort für jede Kopfform. Eigengewicht nur 18g, sehr guter UV-Schutz, hervorragender Schutz und nahezu uneingeschränktes Sichtfeld.";https://www.faie.at/media/image/5b/8b/f7/art_pro_fo_da_27821_200x200.jpg;"https://www.faie.at/haus-hof-und-garten/arbeitsschutz/kopf-augen-atem-gehoerschutz/augenschutz/5027821/schutzbrille-3m-secure-fit";lagernd (derzeit bis zu 10 Werktage Lieferzeit);6,95;7,99;""; 9,95;
"Hydraulikzylinder doppelwirkend 50/30/300mm mit Anschweißkugelauge Ø 25,4mm und verlängertem Zylinde";"keine Angabe";"FA27997";"Landtechnik>Hydraulikprogramm>HY-Zylinder, Oberlenker, Teles>Hydraulikzylinder>HY-Zylinder DW mit Gelenkaugen";"Druckkraft 3534 kg, Zugkraft 2261 kg bei 180 bar, Anschluss G 3/8, Nenndruck 250bar Mit verlängertem Zylinderboden mit Bohrungs-Ø 25,4mm und Anschweißkugelauge Ø 25,4mm an der Kolbenstange.";https://www.faie.at/media/image/d2/24/da/art_pro_fo_mc_27997_200x200.jpg;"https://www.faie.at/landtechnik/hydraulikprogramm/hy-zylinder-oberlenker-teles/hydraulikzylinder/hy-zylinder-dw-mit-gelenkaugen/5027997/hydraulikzylinder-doppelwirkend-50/30/300mm-mit-anschweisskugelauge-oe-25-4mm-und-verlaengertem-zylinde";lagernd (derzeit bis zu 10 Werktage Lieferzeit);129,00;189,00;""; 6,95;
"Hydraulikzylinder doppelwirkend 50/30/350mm mit Anschweißkugelauge Ø 25,4mm und verlängertem Zylinde";"keine Angabe";"FA28001";"Landtechnik>Hydraulikprogramm>HY-Zylinder, Oberlenker, Teles>Hydraulikzylinder>HY-Zylinder DW mit Gelenkaugen";"Druckkraft 3534 kg, Zugkraft 2261 kg bei 180 bar, Anschluss G 3/8, Nenndruck 250bar Mit verlängertem Zylinderboden mit Bohrungs-Ø 25,4mm und Anschweißkugelauge Ø 25,4mm an der Kolbenstange.";https://www.faie.at/media/image/43/7e/2d/art_pro_fo_mc_28001_200x200.jpg;"https://www.faie.at/landtechnik/hydraulikprogramm/hy-zylinder-oberlenker-teles/hydraulikzylinder/hy-zylinder-dw-mit-gelenkaugen/5028001/hydraulikzylinder-doppelwirkend-50/30/350mm-mit-anschweisskugelauge-oe-25-4mm-und-verlaengertem-zylinde";lagernd (derzeit bis zu 10 Werktage Lieferzeit);129,00;169,00;""; 6,95;
"Starter-Blockschlüssel Satz";"BGS";"FA28468";"Werkzeuge Maschinen>Handwerkzeug>PKW-Zubehör und Werkzeug>Autopflege, Wartung>KFZ-Spezialwerkzeug";"Satz mit den Größen 8x10, 11x13, 14x15, 17x19 und 21x22mm. Die Schlüssel sind aus Chrom/ Vanadium, matt verchromt und kalt geschmiedet, Lieferung in der praktischen Tetron-Rolltasche.";https://www.faie.at/media/image/8a/df/08/art_pro_fo_bf_28468_200x200.jpg;"https://www.faie.at/werkzeuge-maschinen/handwerkzeug/pkw-zubehoer-und-werkzeug/autopflege-wartung/kfz-spezialwerkzeug/5028468/starter-blockschluessel-satz";nicht lagernd (10-14 Werktage Lieferzeit);34,95;37,90;"4026947012179"; 6,95;
"Umrüstung auf Dreipunktanbau";"keine Angabe";"FA28479";"Landtechnik>Landmaschinenteile>Anbaugeräte und Zubehör>Ballentransportgeräte>Zubehör und Ersatzteile";"mit dem passenden Anbausatz zu Kat. 2 Anbausatz Kat. 2 mit 1 Stück Oberlenkerbolzen Ø 25 mm, 2 Stück Unterlenkerbolzen Ø 28 mm (Durchschraubbohrung Ø 22 mm) und 3 Stück Klappvorstecker.";https://www.faie.at/media/image/9e/9c/ae/art_pro_fo_gg_28479_200x200.jpg;"https://www.faie.at/landtechnik/landmaschinenteile/anbaugeraete-und-zubehoer/ballentransportgeraete/zubehoer-und-ersatzteile/5028479/umruestung-auf-dreipunktanbau";nicht lagernd (10-14 Werktage Lieferzeit);15,90;19,35;""; 9,95;
"Motohaubenleuchte Profi";"KS Tools";"FA28702";"Werkzeuge Maschinen>Handwerkzeug>PKW-Zubehör und Werkzeug>Autopflege, Wartung>KFZ-Spezialwerkzeug";"Zum Einhängen in Motorhauben, Prodi Stabhandlampe zum Einhängen. Spannweite 1335 - 1800 mm Expanderhalterung mit großen, beweglichen und gummierten Haken Industriequalität extrem stoßfest - Stoßfestigkeitsgrad IK09 mit integriertem Vorschaltgerät";https://www.faie.at/media/image/f5/cd/3c/art_pro_fo_dc_28702_200x200.jpg;"https://www.faie.at/werkzeuge-maschinen/handwerkzeug/pkw-zubehoer-und-werkzeug/autopflege-wartung/kfz-spezialwerkzeug/5028702/motohaubenleuchte-profi";lagernd (derzeit bis zu 10 Werktage Lieferzeit);149,00;199,90;"4042146364741"; 6,95;
"Klauenkupplung mit 13mm Tülle";"keine Angabe";"FA29125";"Werkzeuge Maschinen>E-Geräte, Maschinen, Zubehör>Großgeräte Zubehör>Kompressor-Zubehör>Druckluft-Anschlußteile";"Hochwertige Klauenkupplung";https://www.faie.at/media/image/57/1f/13/art_pro_fo_ad_29122_200x200.jpg;"https://www.faie.at/werkzeuge-maschinen/e-geraete-maschinen-zubehoer/grossgeraete-zubehoer/kompressor-zubehoer/druckluft-anschlussteile/5029125/klauenkupplung-mit-13mm-tuelle";lagernd (derzeit bis zu 10 Werktage Lieferzeit);7,99;12,95;""; 9,95;
"Klinge Busatis, 25 Stück Packung";"Schröckenfux";"FA29267";"Landtechnik>Landmaschinenteile>Mähwerksersatzteile>Mähmesserklingen, Nieten>Mähmesserklingen";"Klinge passend zu Busatis Doppelmessermähwerken BM321, BM1102, BM1124, BM1260. Qualitätsprodukt aus Österreich der Fa. Schröckenfux. 1 Packung = 25 Stk.";https://www.faie.at/media/image/bc/9e/8a/art_pro_fo_ha_29267_200x200.jpg;"https://www.faie.at/landtechnik/landmaschinenteile/maehwerksersatzteile/maehmesserklingen-nieten/maehmesserklingen/5029267/klinge-busatis-25-stueck-packung";nicht lagernd (10-14 Werktage Lieferzeit);42,29;49,75;""; 6,95;
